bins_lat,"(6.061, 6.219]","(6.219, 6.367]","(6.367, 6.516]","(6.516, 6.665]","(6.665, 6.813]","(6.813, 6.962]","(6.962, 7.11]","(7.11, 7.259]","(7.259, 7.408]","(7.408, 7.556]","(7.556, 7.705]","(7.705, 7.853]","(7.853, 8.002]","(8.002, 8.151]","(8.151, 8.299]","(8.299, 8.448]","(8.448, 8.596]","(8.596, 8.745]","(8.745, 8.894]","(8.894, 9.042]","(9.042, 9.191]","(9.191, 9.339]","(9.339, 9.488]","(9.488, 9.637]","(9.637, 9.785]","(9.785, 9.934]","(9.934, 10.082]","(10.082, 10.231]","(10.231, 10.38]","(10.38, 10.528]","(10.528, 10.677]","(10.677, 10.825]","(10.825, 10.974]","(10.974, 11.123]","(11.123, 11.271]","(11.271, 11.42]","(11.42, 11.568]","(11.568, 11.717]","(11.717, 11.866]","(11.866, 12.014]","(12.014, 12.163]","(12.163, 12.311]","(12.311, 12.46]","(12.46, 12.609]","(12.609, 12.757]","(12.757, 12.906]","(12.906, 13.054]","(13.054, 13.203]","(13.203, 13.352]","(13.352, 13.5]","(13.5, 13.649]","(13.649, 13.797]","(13.797, 13.946]","(13.946, 14.095]","(14.095, 14.243]","(14.243, 14.392]","(14.392, 14.54]","(14.54, 14.689]","(14.689, 14.838]","(14.838, 14.986]"
"(49.585, 49.668]",0.0,0.0,0.0,4680.0,0.0,0.0,9240.0,2020.0,1560.0,0.0,1300.0,1833.75,2615.0,0.0,0.0,3160.0,6760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,0.0,0.0,0.0,0.0,0.0,5400.0,1520.0,14820.0,7536.0,1000.0,9330.0,0.0,0.0,0.0,3808.0,4360.0,21480.0,10979.6,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(49.668, 49.75]",0.0,0.0,0.0,1800.0,0.0,0.0,0.0,1150.2,0.0,0.0,0.0,7500.0,1000.0,0.0,0.0,1750.0,0.0,1264.87,0.0,2265.04,0.0,0.0,11520.0,0.0,0.0,0.0,3520.0,13290.0,4620.82,2244.0,4255.0,12860.0,3192.92,11220.0,4059.0,7221.33,0.0,5375.0,0.0,14850.0,0.0,0.0,8398.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8560.0,0.0,0.0,0.0,0.0,0.0,0.0
"(49.75, 49.833]",0.0,0.0,2809.8,3120.0,5670.0,5077.62,0.0,0.0,0.0,0.0,0.0,2217.456,2435.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.0,3375.0,0.0,11720.0,10510.0,3764.88,7783.73,9840.0,4800.0,2389.92,0.0,0.0,1887.0,0.0,0.0,0.0,0.0,0.0,0.0,1866.0,4320.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(49.833, 49.916]",0.0,0.0,17440.0,5231.67,0.0,14673.0,0.0,2880.0,0.0,2046.0,0.0,0.0,7150.26,2058.682,0.0,1830.0,1700.0,2500.0,4800.0,0.0,0.0,0.0,0.0,11762.0,0.0,0.0,3174.0,5040.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,3390.0,6510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0
"(49.916, 49.998]",0.0,2247.3,1798.0,6256.1,3828.44,2188.0,1161.0,0.0,1050.0,0.0,0.0,5112.504,1027.14,1118.0,0.0,1996.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,23016.0,0.0,4590.0,5500.0,0.0,0.0,0.0,1520.0,5920.0,0.0,0.0,0.0,0.0,1250.0,4165.0,1950.0,8250.0,1404.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(49.998, 50.081]",0.0,0.0,0.0,5400.0,2989.77,1958.229,13800.32,0.0,4784.4,4610.0,0.0,0.0,3349.72,0.0,0.0,0.0,2918.4,1200.0,7200.0,0.0,2500.0,2527.7,0.0,1000.0,0.0,2400.0,0.0,3201.0,14000.0,4726.0,0.0,0.0,0.0,3300.0,13105.0,5296.2,2833.6,1543.95,0.0,8875.0,1594.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.081, 50.164]",0.0,3705.75,4846.105,1145.232,0.0,5040.0,0.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,1260.0,2580.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.0,11330.0,10366.5,20000.0,1476.3,9460.0,0.0,7544.0,9306.0,5646.6,0.0,1122.0,5424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.164, 50.247]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11728.8,8340.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,0.0,4746.45,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,5836.705,18250.0,0.0,2000.0,0.0,6270.0,9432.0,1380.0,2744.28,17250.0,6000.0,2100.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.247, 50.329]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5452.13,0.0,2500.0,0.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,0.0,0.0,0.0,0.0,3588.24,0.0,1890.0,0.0,0.0,4720.0,8307.825,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.329, 50.412]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,3486.0,0.0,7250.0,0.0,1212.0,0.0,4195.0,25155.0,9090.0,1501.5,0.0,0.0,10140.0,28471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.412, 50.495]",0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,4884.17,0.0,2067.99,7560.0,0.0,1530.0,0.0,3300.0,0.0,4747.2,2750.0,0.0,0.0,2844.0,5792.0,0.0,0.0,0.0,0.0,6000.0,0.0,1100.0,0.0,11239.76,0.0,0.0,23060.0,0.0,0.0,11212.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(50.495, 50.577]",0.0,0.0,0.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,7620.0,0.0,2976.6,0.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10902.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1584.0,0.0,0.0,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
